pdb_id,chain_auth,chain_asym,label,description
2WBJ,F,F,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DRB1-15 BETA CHAIN"
2WBJ,B,B,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DRB1-15 BETA CHAIN"
2WBJ,E,E,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN"
2WBJ,A,A,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN"
3O6F,D,D,TCR_BETA,T-cell receptor beta-1 chain C region
3O6F,H,H,TCR_BETA,T-cell receptor beta-1 chain C region
3O6F,G,G,TCR_ALPHA,T-cell receptor alpha chain C region
3O6F,C,C,TCR_ALPHA,T-cell receptor alpha chain C region
3O6F,F,F,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
3O6F,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
3O6F,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
3O6F,E,E,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
3PL6,D,D,TCR_BETA,MBP peptide / T-cell receptor beta chain chimera
3PL6,C,C,TCR_ALPHA,T-cell receptor alpha chain
3PL6,B,B,MHC,MHC class II HLA-DQ-beta chain
3PL6,A,A,MHC,MHC class II HLA-DQ-alpha chain
3T0E,E,E,CD4,T-cell surface glycoprotein CD4
3T0E,D,D,TCR_BETA,T-cell receptor beta chain
3T0E,C,C,TCR_ALPHA,T-cell receptor alpha chain
3T0E,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
3T0E,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
4.00E+41,J,J,TCR_BETA,T cell receptor G4 beta chain
4.00E+41,E,E,TCR_BETA,T cell receptor G4 beta chain
4.00E+41,I,I,TCR_ALPHA,T cell receptor G4 alpha chain
4.00E+41,D,D,TCR_ALPHA,T cell receptor G4 alpha chain
4.00E+41,H,H,PEPTIDE,Triosephosphate isomerase
4.00E+41,C,C,PEPTIDE,Triosephosphate isomerase
4.00E+41,G,G,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
4.00E+41,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-1 beta chain"
4.00E+41,F,F,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
4.00E+41,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
4GG6,J,J,PEPTIDE,Peptide from Alpha/beta-gliadin MM1
4GG6,I,I,PEPTIDE,Peptide from Alpha/beta-gliadin MM1
